name,lat,lng
AEEC,33.863537,-101.840651
AMISTAD_ALL,29.449941,-101.057678
AMOCO_PUN1,29.378137,-94.932678
ANACACHO_ANA,29.215214,-100.15802
ATK_ATKINSG7,30.647455,-96.372211
AUSTPL_ALL,30.293931,-97.784797
AZ_ALL,29.702014,-95.071478
B_DAVIS_3,27.607441,-97.310196
BAC_RN_ALL,29.486899,-94.982578
BAFFIN_ALL,27.103234,-97.528657
BASTEN_CCU,30.146278,-97.549784
BBREEZE_1_2,26.500956,-97.636329
BBSES_UNIT1,31.820607,-96.055349
BCATWD_WD_1,33.509188,-98.570491
BLSMT1_5_A_6,34.293473,-99.367467
BOOTLEG_UN1,31.033424,-102.291039
BORDAS_345,27.358092,-98.931877
BOSQ_BSQSU_5,31.859464,-97.357824
BR_VHB6CT5_6,29.256832,-98.381978
BRAZ_WND_ALL,32.949884,-101.146911
BRISCOE_WIND,34.371453,-101.374278
BRTSW_BCW1,33.073455,-98.363595
BSF_PUN1,29.001102,-95.395136
BTE_PUN1,29.772016,-94.903122
BUCHAN_ALL,30.751282,-98.417931
BUCKTHRN_RN,32.376956,-98.353682
BUFF_GAP_ALL,32.298543,-100.115386
BULLCRK_1_2,32.906769,-101.605095
BVE_UNIT1,29.472546,-95.6233
BYU_PUN1,29.623248,-95.047586
CAL_PUN1,29.731568,-95.177016
CALAVER_OWS1,29.308852,-98.319737
CALHOUN_ALL,28.683052,-96.552755
CALLAHA_WND1,32.296385,-99.995602
CAMWIND_RN,26.194815,-97.465774
CAPRIDG4_CR4,31.926188,-100.928076
CARBN_BSP_1,32.273974,-101.40123
CASL_GAP_UN1,31.259419,-102.30884
CBEC_ALL,29.289073,-96.069042
CBECII_1,29.287854,-96.068816
CBY4_ALL,29.750469,-94.924253
CCEC_CC1,27.81204,-97.429057
CEDROHI_CHW1,27.608743,-98.843784
CFLATS_UNIT,31.097592,-100.060601
CHAMON_UN1,29.876916,-95.104872
CHAMON_UN2,29.876916,-95.104872
CHE_PUN1,29.710523,-95.233636
COL_COLETOG1,28.71506,-97.213174
COTPLNS_RN,33.979043,-101.184903
COTTON_PAP2,27.950722,-97.424589
CPSES_UNIT1,32.298759,-97.78547
CSC_CSECG1_2,32.753102,-100.83267
DANSBY_ALL,30.721863,-96.460658
DC2SES_ALL,32.403234,-97.699502
DECKER_DPG1,30.304289,-97.612682
DENISON_G1_2,33.817847,-96.56924
DERMOTT_ALL,32.864857,-100.975986
DIB_PUN1,29.723605,-95.085844
DOWGEN_PUN1,28.982454,-95.388828
DUKE_GST1CCU,26.342236,-98.175072
DUP_PUN1,28.674719,-96.954831
ECLIPSE_UN1,29.324061,-100.393714
ELB_ELBCREEK,32.140883,-101.398767
ELECTRAW_1_2,34.101749,-99.117156
ENAS_ENA1,32.73004,-100.735316
ETCCS_CCU,32.319935,-96.674723
EXGNSND_RN,27.191033,-98.909318
EXGNWTL_1,27.506281,-99.005594
EXN_PUN1,29.756264,-95.011588
FAL_FALCONG1,26.558077,-99.161754
FEGC_RN,29.639945,-95.446822
FERGCC_GT1_1,30.5539,-98.374899
FERMI_ALL,29.76559,-100.711921
FLCNS_UNIT1,32.27251,-101.421301
FLTCK_SSI,32.33178,-98.46429
FLUVANNA_1_2,32.889822,-101.157666
FO_FORMOSA11,28.649435,-96.539894
FORMOSA_CC1,28.695107,-96.540798
FPPYD_FPP_G1,29.916026,-96.750626
FREC_1_CCU,31.890452,-96.111612
FRNYPP_1_CCU,32.756605,-96.490885
FTR_FTR_G1_4,30.592818,-95.918071
FTWIND_UNIT1,31.688285,-98.623858
GBY_GBY_5,29.82163,-95.219433
GIB_GIB_CRG1,30.620015,-96.081494
GID_GIDEONG1,30.147132,-97.270469
GOA_GOATWIND,31.909922,-100.861431
GPASTURE_ALL,33.673808,-99.368737
GRANDVW1_A_B,35.25418,-101.36045
GRSES_UNIT1,33.134983,-98.61206
GUADG_CCU1,29.620519,-98.148424
GUNMTN_NODE,32.196647,-101.410181
GWEC_G1,31.43098,-98.56649
HAYSEN1_2,29.781215,-97.989828
HELIOS_RN,29.226574,-99.69967
HHGT_KENDAL,29.985029,-98.88706
HHOLLW2_WND1,32.226344,-100.040198
HICK_G1_G2,31.123879,-101.350471
HLSES_UNIT3,32.727726,-97.218583
HORSECRK_RN,33.289897,-99.552687
HOVEY_GEN,30.94724,-103.36537
HRFDWIND_ALL,34.77335,-102.30457
HWF_HWFG1,32.824168,-99.278334
IN_INDNENR,30.915068,-102.092793
IND_INADALE1,32.497305,-100.596358
INDN_INDNNWP,30.925602,-102.040987
INGLCO_PUN1,27.886542,-97.241628
INKS_INKS_G1,30.731403,-98.385177
JACKCNTY_CT1,33.102714,-97.956
KEECHI_U1,33.113825,-98.217426
KEO_KEO_SM1,30.822282,-102.365451
KING_KINGNE,31.237908,-102.237844
LAMESASLR_G,32.752391,-101.956368
LARDVFTN_G4,27.566927,-99.508432
LASSO_GEN,30.367505,-103.523823
LEG_LEG_G1,31.423076,-96.252773
LEONLCPCT1_2,29.351602,-98.575478
LFBIO_UNIT1,31.366025,-94.743933
LGD_LANGFORD,31.095183,-100.610184
LGW_UNIT_ALL,31.847096,-98.686627
LHM_PUN1,29.831805,-95.119736
LHORN_N_U1_2,34.345076,-101.307401
LHSES_UNIT1,32.836693,-96.546313
LNCRK_ALL,32.530972,-99.542699
LONEWOLF_ALL,32.506124,-100.70936
LPCCS_CT11,33.631386,-95.589515
LV1A_LV1B,26.27744,-97.61333
LV3_UNIT1,26.472989,-98.612325
LV4_UNIT_1,26.499807,-98.517847
LV5_UNIT1,26.499807,-98.517847
MAR_MARSFOG1,30.39228,-97.907464
MARBFA,30.556606,-98.256406
MARIAH_ALL,34.677698,-102.670416
MCDLD_FCSBW1,32.024824,-101.280114
MCSES_UNIT6,32.725505,-96.936722
MDANP_CT1_2,32.430879,-97.054138
MESQCRK_ALL,32.669103,-101.683502
MGSES_CT123,32.33599,-100.915765
MIAM1_G1_G2,35.654473,-100.633457
MIL_MILG1_2,32.658481,-98.310089
MIRAGE_G1,29.667572,-95.034015
MIRASOLE_GEN,26.473188,-98.396504
MLSES_UNIT1,32.259658,-94.568499
MNSES_UNIT1,33.090748,-95.038249
MOZART_WIND1,32.994719,-100.531169
MWEC_G1,33.751761,-100.972712
NACPW_UNIT1,31.832427,-94.900664
NBOHR_RN,31.766443,-101.530192
NCARBID_PUN1,28.511309,-96.771099
NED_NEDIN_G1,26.340669,-98.190107
NUE_NUECESG7,27.81989,-97.420862
NWF_NWF1,32.044332,-102.796692
OECCS_1,31.839086000000002,-102.326074
OGSES_1,31.182416,-96.487141
OKLA_OKLA_G1,34.082592,-99.175851
OLIN_OLING_1,33.067991,-96.452393
OWF_OWF,32.106742,-101.37874
OXY_PUN1,27.810305,-97.590988
PANDA_S_CT1,33.580987,-96.615075
PANDA_T1_CT1,31.05634,-97.31551
PANDA_T2_CT1,31.05634,-97.31551
PB2SES_CT1,31.585285,-102.963513
PC_NORTH_1,32.137619,-101.469954
PEAR_PEARS_1,28.92777,-99.091855
PENA_ALL,27.000141,-97.599773
PH1_UNIT1_2,35.40226,-101.15380999999999
PH2_U1_U2,35.40226,-101.15380999999999
PNPI_GT2_RN,29.483665,-95.63046
PR_PR_G2,29.697751,-95.25575
PSA_PUN1,29.816829,-95.111488
PYR_PYRON1,32.53232,-100.728414
QALSW_ALL,31.84202,-102.315635
RAYBURN_G1_2,28.894945,-97.135099
RDCAN_RDCNY1,32.911705,-101.22708
REDFISH_ALL,26.477743,-97.69124
REDGATE_ALL,26.450616,-98.177255
REROCK_ALL,30.894621,-102.831362
RHESS_1,30.58568,-97.685136
RIGGIN_UNIT1,30.988194,-102.731278
RIONOG_CT1,29.593262,-97.973631
RN_DEC_GSU0,33.216328,-97.210544
RN_ECEC_HOLT,32.04168,-102.680928
RN_OCI_ALAMO,29.271846,-98.444769
RN_RTS1,31.228544,-99.564551
RN_SR_WIND1,26.117081,-97.370969
RN_TOSBATT,32.169353,-101.479464
ROUTE66_RN,35.214192,-101.527459
RSK_RN,31.689029,-101.406179
SALVTION_GEN,33.319707,-99.666696
SAN_SANMIGG1,28.70439,-98.476409
SANDHSYD1_2,30.209943,-97.613073
SANTACRU_ALL,27.601384,-97.535547
SC2SES_UNIT1,31.939768,-94.989969
SCES_UNIT1,31.475354,-96.956716
SCLP_PUN1,29.078007,-95.743663
SDSES_PUN1,30.565063,-97.068063
SENATEWD_1,33.20315,-98.37243
SGM_SIGNALMT,32.240606,-101.360276
SHANNONW_RN,33.536155,-98.360133
SIL_SILAS_10,25.913547,-97.521524
SIRIUS_UNIT1,30.885117,-102.291255
SJS_SJS_G1,29.701202,-95.039467
SKY1,29.535312,-96.571871
SL_PUN1,29.715364,-95.130901
SLTFRK_UN1_2,34.987137,-100.888395
SOLARA_UNIT1,33.061829,-99.673936
SPLAIN1_RN,34.147577,-101.37118100000001
SPLAIN2_RN,34.083655,-101.370029
SPNC_SPNCE_4,33.197636,-97.106452
SPTX12B_RN,31.23131,-102.298526
SRB_SRB_G1,29.726801,-95.059882
SRWE1_UNIT1,32.946879,-101.592308
SSPURT_WIND1,35.22615,-102.1834
STEAM_ENG123,33.170393,-96.126661
STP_STP_G1,28.795135,-96.0492
STWF_T1,32.415988,-100.211385
SW_M_SW_MESA,31.084274,-102.12019600000001
SWEC_G1,32.239915,-101.838132
SWEETWN2_2_4,32.340995,-100.35102
SWEETWND_1,32.456486,-100.322188
SWTWN4_WND45,32.303601,-100.499177
TC_PUN1,29.703834,-95.39812
TEN_CT1_STG,32.399635,-97.407381
TGCCS_ALL,32.018188,-94.620088
TGF_TGFGT,29.263829,-95.899124
TGW_T1_T2,27.125187,-97.542153
THW_1_CCU,29.942229,-95.533039
TKWSW_CHAMP,32.440943,-100.659161
TKWSW_ROSCOE,32.494611,-100.67276
TNP_TNP_O_1,31.092056,-96.695439
TNSKA_CCU,33.724396,-95.566827
TRENT_TRENT,32.439597,-100.220527
TRINITY_ALL,33.395958,-98.752121
TRSES_UNIT6,32.125833,-96.101578
TTWEC_G1,32.213737,-100.256468
TXCTY_CTA,29.3787,-94.943134
TYLRWIND_RN,33.722847,-97.386761
UCC_COG_PUN1,29.37874,-94.947715
VERTIGO_UN1,33.63333,-99.386387
VIC_VICTORG5,28.787301,-97.009991
VISTRON_PUN1,28.570746,-96.833846
VLSES_UNIT3,33.563556,-96.318088
WAKEWE_ALL,33.745055,-100.992187
WAP_WAPGT_1,29.478021,-95.635131
WCPP_CT1,33.059622,-97.909898
WEBBER_WS_T1,30.235327,-97.507208
WEC_WECG1,33.95036,-101.132693
WFCOGEN_13,33.863559,-98.592503
WHCCS_CT1_ST,32.333825,-97.731919
WHCCS2_4,32.333825,-97.731919
WHTTAIL_WR1,33.719111,-97.427082
WIPOPA_1_2,30.038281,-96.987361
WIR_WIRTZ_G1,30.556077,-98.338379
WND_WHITNEY,31.866411,-97.371158
WNDTS2_UNIT1,33.540457,-98.522287
